country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Eritrea,18,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,19,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,20,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,21,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,22,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,23,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,24,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea Bissau,25,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,26,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,27,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,28,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,29,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,30,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,31,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,32,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,33,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,34,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,35,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,36,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,37,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,38,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,39,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,40,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,41,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,42,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,43,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,44,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,45,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,46,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,47,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,48,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,49,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,50,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,51,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,52,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,53,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,54,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,1,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,98.6,98.6,98.6,98.6,98.6,98.6,98.7,98.7,99.3,98.8,98.9,99,98.8,99.2,99.3,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100,,
Angola,2,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,24.2,20,26.3,27.4,28.4,29.4,30.5,37.5,38.5,33.8,35,34.6,37.3,38.4,32,42,41.8,42.9,45.3,45.6,47,48.2,48.5,,
Benin,3,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,21.5,21.9,23.4,24.3,25.2,26.1,27.9,28,29,30,34.2,36.9,38.4,34.7,34.1,29.6,37,34.5,39,40,41,42,56.5,,
Botswana,4,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,26.5,24.8,27,33.1,35.3,37.5,39.7,41.9,44.5,43.4,52,53.2,56,58,60,62.1,64.2,67.4,68.3,70.1,71.8,73.7,75.9,,
Burkina Faso,5,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,9.1,9.5,9.9,11.4,10.7,11.1,11.6,12,12.5,12.6,13.1,14.8,15.1,15.4,19.2,16.2,16.6,17,14.4,17.6,18.5,19,19.5,,
Burundi,6,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.5,2.8,3.1,3.4,3.7,3.2,2.7,4.7,4.8,5.4,5.3,6.2,6.5,6.9,7,7.9,8.5,9.3,9.5,9.8,9.1,10.2,10.3,,
Cameroon,7,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,41,46.2,44,45.1,47.1,47.2,49,48.2,50.6,51.7,52.8,53.7,55.2,56.3,56.8,58.6,59.8,60.9,62.2,63.2,64.3,65.4,71,,
Cape Verde,8,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,58.6,60.3,58.6,63.7,65.4,67,68.8,70.5,72.3,74.1,81.1,82.3,83.2,84.3,85.3,86.4,87.5,88.6,90.2,91.4,93.7,95.5,97.1,,
Central African Republic,9,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6,5.7,6.1,6.6,7,7.4,7.8,8.4,7.5,9.4,9.8,10.4,11,11.5,12,12.7,13.4,14.1,14.6,14.3,15.4,15.7,15.7,,
Chad,10,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,3.1,3.4,3.8,4.1,3.5,4.8,5.1,5.5,5.9,6.3,6.4,9,7.8,8.1,8.4,7.7,9.2,10.9,10.1,8.4,10.9,11.3,11.7,,
Comoros,11,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,39.8,42,44.8,46.5,48.7,51,53.2,55.5,57.8,60.1,69.7,69.3,69.3,69.4,71.8,74.1,76.4,78.7,81,83.3,85.6,87.9,89.9,,
Congo Democratic Republic,12,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.7,7.1,7.7,8.3,9,6,10.2,15.2,11.6,12.3,13,13.7,15.4,15.2,13.5,16.6,17.3,18,18.7,19.1,20.1,20.8,21.5,,
Congo Republic,13,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,29.4,30.3,31.2,32.1,33,33.8,34.9,35.8,36.8,37.1,40,40.8,41.6,42.5,43.4,44.3,45.3,46.2,47,47.7,48.7,49.7,50.6,,
Cote d'Ivoire,14,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,48.7,49.7,51.4,51.5,52.4,58.9,60.2,55.3,60.3,57.3,58.4,55.8,55.8,61.5,61.9,62.6,64.3,65.6,67.1,68.6,69.9,71.1,70.4,,
Djibouti,15,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,56,56.1,49.7,56.4,56.6,56.8,55.5,57.2,57.4,57.6,57.9,58.1,54.6,58.6,58.9,59.1,59.8,60.2,62.4,64.7,64.5,65.4,65,,
Egypt,16,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,97.7,97.4,97.5,98.8,97.8,99.4,99,98.4,99.8,98.9,99.4,99.4,99.7,99.9,99.8,99.3,100,100,100,100,100,100,100,,
Equatorial Guinea,17,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,64.8,64.9,64.9,64.9,64.9,65,65.1,65.1,65.2,65.4,66.1,66.1,65.7,65.9,66,66.1,66.2,66.4,66.5,66.6,66.7,66.8,67,,
Eritrea,18,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,29.3,30.3,32.2,32.4,33.4,34.5,35.6,36.7,37.8,38.9,40.1,41.2,42.3,43.5,44.6,45.8,46.9,48,49.1,50.3,51.4,52.5,55.4,,
Eswatini,19,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,20.4,26.9,25.9,28.7,31.4,34.2,35.2,39.8,42.6,38.6,45.6,51.2,54.3,57.5,65,64.1,63.4,73.5,74,77,80,82.9,82.3,,
Ethiopia,20,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,12.7,10.2,11.9,13.5,15.2,14,18.6,20.3,22,23.7,25.5,23,29,30.8,27.2,29,42.9,44.3,44.8,48,51.1,54.2,55,,
Gabon,21,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,73.6,77.2,77.8,78.5,79.2,81.6,80.5,81.3,82,82.7,89.3,88.7,89.3,86.4,87.1,87.3,88.1,86.3,89.6,90.3,91.1,91.8,93.5,,
Gambia,22,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,34.3,29.9,31.5,27.8,34.8,30.5,38.1,39.8,41.5,43.2,46.8,48.3,49.9,51.5,53,54.7,56.4,56.2,60.3,62.1,62.2,63.7,65.4,,
Ghana,23,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74,79.3,79,80.4,83.5,85.4,86.3,85.1,,
Guinea,24,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,15.2,16.4,17.7,18.9,20.2,20.2,22.8,24.1,25.4,26.7,28.1,29.5,26.2,32.2,33.5,34.9,33.5,35.4,45,42.2,44.7,46.8,47.7,,
Guinea Bissau,25,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,5.41,5.94,6.45,6.96,7.47,7.98,14.5,7.9,9.3,4.7,6,13.5,14.9,16.3,17.2,20.1,22.9,26,28.4,30.9,33.4,35.8,37.4,,
Kenya,26,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,15.2,17,18.9,16,22.6,24.5,26.4,28.3,30.3,23,19.2,36.2,38.1,40.1,36,41.6,53.1,55.8,61.2,69.7,71.5,76.5,76,,
Lesotho,27,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,4.3,1.3,3.4,5.4,6.8,9.6,9.7,13.9,16,17,17,22.5,20.6,26.9,27.8,31.8,35.1,33.7,47,44.6,47.5,50.4,50,,
Liberia,28,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.01,0.01,0.01,0.01,0.01,0.04,0.24,3,1.3,1.9,5.3,4.1,9.3,9.8,9.4,15.2,17.7,24.2,22.8,23.1,27.6,29.8,31.8,,
Libya,29,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99.8,96.9,95.2,93.5,91.8,90.1,88.4,86.8,85.1,83.5,81.9,80.3,78.7,77.1,75.5,73.8,72.2,70.6,67,68.5,69.4,70.2,70,,
Madagascar,30,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,12.6,14.8,14,20.3,15.3,16,16.8,17.5,18.3,17.4,12.3,14.3,18.7,12.9,23,23.8,22.9,24.1,36.5,31,32,35.1,36.1,,
Malawi,31,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,4.8,5.2,5.6,6.2,6.9,6.6,3.7,7.4,7.8,8.3,8.7,7.6,7.4,9,11.9,10.8,11,12.7,18,11.2,11.5,14.2,14,,
Mali,32,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,9.6,10.8,13,14.7,16.4,18.2,16.6,21.7,23.4,24,27,28.8,25.6,32.4,34.2,37.6,38.8,34.8,50.9,47.9,50.6,53.4,53,,
Mauritania,33,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,19.1,22.2,21.7,23,24.3,18.2,27,33,30,31.1,34.2,35.3,36.4,37.6,38.8,39.5,41.2,42.9,43.6,44.9,45.4,47.7,49,,
Mauritius,34,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99,99.2,99.4,99.1,99,99,99,99,99,99,99.4,99.6,99.4,99.4,99.5,99.6,99.7,99.6,99.8,100,99.5,99.6,100,,
Morocco,35,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,69.8,71.6,73.3,75.1,78.2,78.6,96.5,82.2,84.1,85.9,95.7,96.1,96.4,97.2,97.3,97.3,97.8,100,98.1,99.6,100,100,100,,
Mozambique,36,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.1,5.7,8.4,8.1,10.7,11.8,13,12.4,13.6,15,18.9,20.2,21.2,22.4,24.8,24,26.2,24.3,31.1,29.7,30.6,31.5,33.2,,
Namibia,37,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,36.5,36,36.9,37.8,38.7,39.6,40.5,43.7,42.4,44.1,44.4,42.3,46.4,47.4,48.4,51.6,49.7,52.5,52.3,53.3,52.3,55.2,56.2,,
Niger,38,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.5,8.4,8.8,9.3,9.7,7.1,9.3,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17,17.6,17.6,18.5,18.7,18.6,19.5,,
Nigeria,39,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,43.2,43.9,44.6,52.2,46.1,46.8,47.6,50.1,50.3,50,48,55.9,53,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5,60.5,,
Rwanda,40,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.2,4.7,6,7.4,8.7,4.8,11.4,12.8,6,15.6,9.7,10.8,17.5,15.2,19.8,22.8,29.4,34.1,38,46.6,45.2,48.7,50.6,,
Sao Tome and Principe,41,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,52.9,51.5,52.5,53.6,54.7,55.8,56.9,58,59.1,56.9,61.4,62.6,57.9,65,68.6,67.3,69.4,74.3,71,75.1,76.8,78.5,78,,
Senegal,42,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,37.7,38.9,36.8,41.9,36.8,47.1,49.9,48.1,49.7,53.5,56.5,56.5,56.5,57,61,60.5,64.5,61.7,66,70.4,64.3,68,67.9,,
Seychelles,43,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,94.1,94.4,96.1,94.9,95.2,95.5,99,96.1,96.5,96.8,97,98.1,98.3,98,100,100,100,100,100,100,100,100,100,,
Sierra Leone,44,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,7.7,8.5,9.2,9.9,16.8,11.3,12.2,13,12.1,14.6,11.5,14.2,17.2,13.5,18.8,19.7,20.3,23.4,26.1,22.7,26.3,27.5,29.4,,
Somalia,45,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.1,4.7,7.4,9.8,12.4,15,15.2,20.2,22.9,25.5,52.3,52,51.8,51.5,51.4,51.2,51.1,52.1,50.7,49.2,49.9,49.3,48.9,,
South Africa,46,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,72.4,70.2,76.7,78.8,80.6,80.8,80.7,82,81.9,82.6,82.8,83.6,85.2,85.2,85.9,85.3,83.9,84.4,84.7,85,90,89.3,86.5,,
South Sudan,47,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,1.35,1.39,1.43,1.47,1.51,1.55,1.6,0.8,1.3,3,1.5,2.8,3.3,3.8,4.3,4.8,5.3,4.2,6.3,6.8,7.3,7.7,8.4,,
Sudan,48,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,23,29.4,29.7,29.9,30.2,30.5,30.8,31.1,20,29,36,38.3,40.7,43.1,44.9,48,50.5,53,55.3,57.6,59.7,61.8,63.2,,
Tanzania,49,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,8.7,9.7,10.7,11.1,11.4,13.8,14.9,15.9,11.5,11.2,14.8,14.2,15.3,16.4,23.5,26.2,32.8,32.1,34.9,37.7,39.9,42.7,45.8,,
Togo,50,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,17,19.6,21.3,23,24.8,26.5,27.9,30,31.8,33.7,30.8,39.7,39.1,41,45.7,44.7,46.8,48,50,52.5,54.1,55.7,57.2,,
Tunisia,51,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,94.8,97.3,97.8,98.4,99,99.2,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.7,99.8,99.9,100,100,99.8,100,99.9,99.9,100,,
Uganda,52,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,7.4,8.6,7.8,10.5,11.6,8.9,9,14.8,15.9,10,12.1,14.6,20.5,13.9,20.4,18.5,26.7,32.4,41.9,41.3,42.1,45.2,47.1,,
Zambia,53,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,16.7,20.2,17.4,18.5,20.3,23.3,24.1,18.5,25.7,26.6,22,28.3,29.2,30.1,27.9,31.1,35.4,40.3,40.2,43,44.6,46.7,47.8,,
Zimbabwe,54,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,33.7,34.2,34.2,35.1,35.6,36.1,37.2,37.2,37.7,43.4,38.9,36.9,44,40.6,32.3,33.7,42.5,44,45.4,46.7,52.7,49,50.1,,
