,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
44,Somalia,45,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.4,0.4,0.4,0.5,0.5,0.55,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.7,2.0,2.4,2.7,3.0,3.3,3.9,4.2,4.8,,
45,South Africa,46,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,56.0,58.0,60.0,62.3,64.5,66.7,69.0,71.2,73.3,75.3,77.1,78.7,80.0,81.4,82.8,83.8,84.9,85.8,86.6,87.4,88.1,88.7,89.4,,
46,South Sudan,47,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
47,Sudan,48,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,7.0,8.6,10.7,12.6,15.0,17.7,20.5,23.6,26.0,29.5,32.8,35.8,39.0,41.9,45.1,48.0,51.1,54.1,56.25,58.9,61.0,62.8,65.6,,
48,Tanzania,49,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.4,1.6,1.9,2.2,2.7,3.2,3.9,4.5,5.3,6.2,7.2,8.1,9.2,,
49,Togo,50,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.3,0.4,0.5,0.7,0.9,1.1,1.5,1.8,2.3,2.8,3.3,3.9,4.5,5.3,6.0,6.7,7.6,8.1,9.0,9.6,10.4,11.0,11.9,,
50,Tunisia,51,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,90.5,92.5,94.2,95.6,96.6,97.4,98.1,98.5,98.9,99.2,99.4,99.5,99.6,99.7,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,,
51,Uganda,52,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.6,,
52,Zambia,53,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,13.8,14.3,14.6,15.0,15.3,15.8,16.0,16.1,16.1,16.1,16.0,15.8,15.5,15.0,14.6,13.9,13.4,12.6,11.9,11.1,10.4,9.6,9.0,,
53,Zimbabwe,54,Energy: Population with access to clean cooking fuels,% of population,Energy,Access,Energy: Population with access to clean cooking fuels (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,33.9,33.8,33.6,33.0,32.4,31.9,31.6,31.2,30.7,30.5,30.4,30.2,30.2,30.0,30.0,30.0,30.0,30.1,30.3,30.3,30.5,30.5,30.8,,
54,Algeria,1,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.25,4.14,4.19,4.15,4.03,3.96,4.17,4.29,4.24,4.56,4.49,4.54,4.81,4.84,5.09,5.14,4.94,5.01,5.27,5.4,5.4,5.61,,,
55,Angola,2,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.77,3.74,3.41,3.56,3.23,2.64,2.65,2.55,2.51,2.77,2.65,2.65,2.78,2.65,2.29,2.72,2.59,2.65,2.47,2.66,2.8,3.1,,,
56,Benin,3,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.88,4.93,5.05,5.15,5.15,5.08,5.76,5.91,5.76,5.91,6.0,5.82,5.61,5.71,5.54,5.79,6.22,6.11,6.05,5.69,5.79,4.79,,,
57,Botswana,4,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.84,3.79,3.59,3.39,3.44,3.39,3.26,3.18,3.24,3.44,3.4,3.04,3.47,3.29,3.39,3.55,3.17,3.18,3.25,2.92,2.89,2.68,,,
58,Burkina Faso,5,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.37,5.18,5.11,4.94,4.78,5.51,5.48,5.71,5.74,5.64,5.31,5.3,5.42,5.5,5.55,5.8,5.5,5.61,5.71,5.57,5.53,5.43,5.4,,
59,Burundi,6,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,10.75,10.95,10.7,10.32,10.01,9.49,9.06,8.8,8.43,8.13,7.98,7.89,7.48,7.55,7.07,7.34,7.52,7.58,7.69,7.6,7.74,7.48,7.4,,
60,Cameroon,7,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,5.82,5.7,5.71,5.67,5.49,5.47,4.88,4.41,4.33,4.56,4.47,4.53,4.53,4.51,4.63,4.61,4.52,4.41,4.35,4.27,4.36,4.23,,,
61,Cape Verde,8,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,2.99,3.17,3.23,3.16,3.11,3.04,3.02,2.68,2.35,2.6,2.69,2.85,2.42,2.4,2.35,2.36,2.4,2.41,2.34,2.38,2.49,2.45,2.17,,
62,Central African Republic,9,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,7.03,6.99,6.94,7.21,7.39,7.33,7.19,7.11,6.94,6.89,6.76,6.68,6.25,9.3,9.55,9.4,9.12,8.8,8.56,8.39,8.4,8.41,8.31,,
63,Chad,10,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,7.55,6.9,6.48,6.03,4.59,4.33,4.38,4.38,4.21,4.38,3.92,3.95,3.91,3.89,3.71,3.7,3.94,4.07,4.06,3.95,4.13,4.34,4.2,,
64,Comoros,11,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,2.79,2.72,2.64,2.87,2.92,2.75,3.02,2.57,2.51,2.65,2.78,2.58,2.65,2.84,2.78,2.93,3.06,3.28,3.32,3.37,3.68,4.27,4.3,,
65,Congo Democratic Republic,12,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,16.7,17.63,17.72,17.24,16.65,15.75,15.55,14.85,14.34,14.69,14.13,13.93,15.84,15.19,14.85,14.11,14.39,13.91,13.48,13.11,13.1,12.51,,,
66,Congo Republic,13,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,1.84,2.16,2.16,2.53,2.71,2.67,3.23,3.07,3.09,3.16,3.13,4.08,4.25,4.51,4.18,4.58,5.02,5.32,5.62,6.01,6.61,6.72,,,
67,Cote d'Ivoire,14,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,4.15,3.98,4.33,4.15,5.78,5.88,5.69,6.02,5.9,5.24,4.55,5.45,5.39,5.07,4.7,3.89,3.81,3.66,3.27,3.2,3.3,3.3,,,
68,Djibouti,15,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.75,3.72,3.83,3.86,3.69,3.65,3.5,3.55,3.56,3.37,3.55,2.82,2.67,2.71,2.58,2.66,2.37,2.23,2.3,2.32,2.09,2.08,2.03,,
69,Egypt,16,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.16,3.47,3.45,3.47,3.64,4.0,3.95,3.94,3.81,3.72,3.51,3.61,3.64,3.43,3.45,3.28,3.46,3.48,3.27,3.1,2.96,3.06,,,
70,Equatorial Guinea,17,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,1.34,0.9,1.09,1.09,2.89,2.67,2.57,1.9,1.82,1.44,2.36,2.28,2.71,3.48,3.24,3.3,4.08,4.06,4.46,3.7,4.37,5.18,5.9,,
71,Eritrea,18,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,7.44,7.2,6.72,7.94,6.62,6.5,6.2,6.17,7.7,7.2,6.74,5.67,5.71,6.43,5.04,6.5,6.22,6.99,6.38,6.28,6.41,6.37,,,
72,Eswatini,19,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,6.33,5.93,5.88,5.79,5.57,5.39,5.06,4.98,4.88,4.92,4.66,4.7,4.71,4.81,4.16,4.45,4.44,4.44,4.5,4.53,4.51,3.91,,,
73,Ethiopia,20,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,20.85,20.2,20.48,21.62,19.95,18.13,16.78,15.52,14.41,13.47,12.52,11.66,11.04,10.44,9.83,9.15,8.78,8.16,7.84,7.41,7.03,6.79,3.89,,
74,Gabon,21,Energy intensity level of primary energy,MJ/USD PPP 2017,Energy,Efficiency,Energy intensity level of primary energy (MJ/2017 PPP GDP),https://africa-energy-portal.org/database,Africa Energy Portal,3.03,3.18,3.83,4.43,5.08,5.98,6.86,7.11,7.69,8.61,9.09,6.83,5.73,7.98,7.43,7.22,7.08,6.62,6.82,6.35,6.52,6.47,,,
