,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
31,Mali,32,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,9.6,10.8,13.0,14.7,16.4,18.2,16.6,21.7,23.4,24.0,27.0,28.8,25.6,32.4,34.2,37.6,38.8,34.8,50.9,47.9,50.6,53.4,53.0
32,Mauritania,33,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,19.1,22.2,21.7,23.0,24.3,18.2,27.0,33.0,30.0,31.1,34.2,35.3,36.4,37.6,38.8,39.5,41.2,42.9,43.6,44.9,45.4,47.7,49.0
33,Mauritius,34,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99.0,99.2,99.4,99.1,99.0,99.0,99.0,99.0,99.0,99.0,99.4,99.6,99.4,99.4,99.5,99.6,99.7,99.6,99.8,100.0,99.5,99.6,100.0
34,Morocco,35,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,69.8,71.6,73.3,75.1,78.2,78.6,96.5,82.2,84.1,85.9,95.7,96.1,96.4,97.2,97.3,97.3,97.8,100.0,98.1,99.6,100.0,100.0,100.0
35,Mozambique,36,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.1,5.7,8.4,8.1,10.7,11.8,13.0,12.4,13.6,15.0,18.9,20.2,21.2,22.4,24.8,24.0,26.2,24.3,31.1,29.7,30.6,31.5,33.2
36,Namibia,37,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,36.5,36.0,36.9,37.8,38.7,39.6,40.5,43.7,42.4,44.1,44.4,42.3,46.4,47.4,48.4,51.6,49.7,52.5,52.3,53.3,52.3,55.2,56.2
37,Niger,38,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.5,8.4,8.8,9.3,9.7,7.1,9.3,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17.0,17.6,17.6,18.5,18.7,18.6,19.5
38,Nigeria,39,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,43.2,43.9,44.6,52.2,46.1,46.8,47.6,50.1,50.3,50.0,48.0,55.9,53.0,55.6,54.2,52.5,59.3,54.4,56.5,55.4,55.4,59.5,60.5
39,Rwanda,40,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.2,4.7,6.0,7.4,8.7,4.8,11.4,12.8,6.0,15.6,9.7,10.8,17.5,15.2,19.8,22.8,29.4,34.1,38.0,46.6,45.2,48.7,50.6
40,Sao Tome and Principe,41,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,52.9,51.5,52.5,53.6,54.7,55.8,56.9,58.0,59.1,56.9,61.4,62.6,57.9,65.0,68.6,67.3,69.4,74.3,71.0,75.1,76.8,78.5,78.0
41,Senegal,42,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,37.7,38.9,36.8,41.9,36.8,47.1,49.9,48.1,49.7,53.5,56.5,56.5,56.5,57.0,61.0,60.5,64.5,61.7,66.0,70.4,64.3,68.0,67.9
42,Seychelles,43,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,94.1,94.4,96.1,94.9,95.2,95.5,99.0,96.1,96.5,96.8,97.0,98.1,98.3,98.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
43,Sierra Leone,44,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,7.7,8.5,9.2,9.9,16.8,11.3,12.2,13.0,12.1,14.6,11.5,14.2,17.2,13.5,18.8,19.7,20.3,23.4,26.1,22.7,26.3,27.5,29.4
44,Somalia,45,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.1,4.7,7.4,9.8,12.4,15.0,15.2,20.2,22.9,25.5,52.3,52.0,51.8,51.5,51.4,51.2,51.1,52.1,50.7,49.2,49.9,49.3,48.9
45,South Africa,46,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,72.4,70.2,76.7,78.8,80.6,80.8,80.7,82.0,81.9,82.6,82.8,83.6,85.2,85.2,85.9,85.3,83.9,84.4,84.7,85.0,90.0,89.3,86.5
46,South Sudan,47,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,1.35,1.39,1.43,1.47,1.51,1.55,1.6,0.8,1.3,3.0,1.5,2.8,3.3,3.8,4.3,4.8,5.3,4.2,6.3,6.8,7.3,7.7,8.4
47,Sudan,48,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,23.0,29.4,29.7,29.9,30.2,30.5,30.8,31.1,20.0,29.0,36.0,38.3,40.7,43.1,44.9,48.0,50.5,53.0,55.3,57.6,59.7,61.8,63.2
48,Tanzania,49,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,8.7,9.7,10.7,11.1,11.4,13.8,14.9,15.9,11.5,11.2,14.8,14.2,15.3,16.4,23.5,26.2,32.8,32.1,34.9,37.7,39.9,42.7,45.8
49,Togo,50,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,17.0,19.6,21.3,23.0,24.8,26.5,27.9,30.0,31.8,33.7,30.8,39.7,39.1,41.0,45.7,44.7,46.8,48.0,50.0,52.5,54.1,55.7,57.2
50,Tunisia,51,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,94.8,97.3,97.8,98.4,99.0,99.2,99.4,99.4,99.4,99.5,99.5,99.5,99.5,99.7,99.8,99.9,100.0,100.0,99.8,100.0,99.9,99.9,100.0
51,Uganda,52,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,7.4,8.6,7.8,10.5,11.6,8.9,9.0,14.8,15.9,10.0,12.1,14.6,20.5,13.9,20.4,18.5,26.7,32.4,41.9,41.3,42.1,45.2,47.1
52,Zambia,53,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,16.7,20.2,17.4,18.5,20.3,23.3,24.1,18.5,25.7,26.6,22.0,28.3,29.2,30.1,27.9,31.1,35.4,40.3,40.2,43.0,44.6,46.7,47.8
53,Zimbabwe,54,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,33.7,34.2,34.2,35.1,35.6,36.1,37.2,37.2,37.7,43.4,38.9,36.9,44.0,40.6,32.3,33.7,42.5,44.0,45.4,46.7,52.7,49.0,50.1
54,Algeria,1,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99.4,99.38,99.35,99.33,99.3,99.28,99.41,99.39,100.0,99.49,99.57,99.65,99.3,99.81,99.89,99.93,99.84,99.85,99.86,99.79,99.91,99.97,100.0
55,Angola,2,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,44.83,29.98,47.6,49.09,50.4,51.71,53.2,61.87,61.33,53.3,55.25,52.53,56.77,57.77,47.92,64.01,62.03,62.8,65.3,64.97,66.31,67.49,67.25
56,Benin,3,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,47.4,49.68,49.33,50.15,51.11,51.91,56.62,53.74,54.75,55.76,65.36,67.03,68.54,61.11,55.83,51.59,62.36,54.19,64.28,65.16,66.15,67.01,67.71
57,Botswana,4,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,39.16,37.04,44.15,46.75,49.26,51.83,54.39,56.86,60.12,60.84,68.14,69.04,72.7,74.85,76.82,79.51,80.91,83.98,85.55,88.04,90.54,93.05,95.48
58,Burkina Faso,5,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,40.41,41.58,42.6,52.21,44.68,45.71,47.06,48.16,49.22,44.13,48.59,53.1,54.28,55.66,58.54,55.42,54.26,54.74,44.2,56.1,57.21,57.46,53.91
59,Burundi,6,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,23.9,27.71,31.34,34.68,37.67,29.98,24.12,44.27,39.45,47.48,49.0,53.85,51.5,52.39,51.95,56.67,58.0,61.51,59.55,60.36,60.72,62.78,61.35
60,Cameroon,7,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,79.03,83.91,78.42,79.36,77.07,80.91,73.01,90.43,83.63,84.43,87.28,87.54,88.23,88.45,89.2,89.73,90.67,91.42,89.98,93.11,93.87,94.62,100.0
61,Cape Verde,8,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,81.95,82.53,81.29,83.66,84.23,84.97,85.38,85.9,86.65,87.33,90.61,91.07,91.31,91.72,91.82,92.06,92.23,92.54,93.12,93.49,94.2,94.81,97.2
62,Central African Republic,9,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,15.6,13.79,14.66,15.78,16.64,17.49,20.25,19.66,11.97,21.6,24.9,25.97,27.16,27.93,28.83,29.6,30.51,31.38,32.18,32.14,33.89,34.66,34.3
63,Chad,10,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,9.98,10.99,12.46,13.46,12.6,16.28,16.91,18.36,19.81,20.89,18.47,13.59,24.68,25.92,27.14,32.48,31.02,33.51,36.13,31.7,41.14,43.35,44.52
64,Comoros,11,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,64.39,65.87,74.64,69.45,70.92,72.99,74.43,76.21,77.97,79.72,85.15,84.7,85.15,86.95,89.0,90.43,92.11,93.79,95.47,97.14,98.82,99.78,100.0
65,Congo Democratic Republic,12,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,14.7,16.07,17.73,19.29,21.01,12.2,23.7,36.63,25.9,27.1,28.47,29.13,33.5,31.68,28.5,37.5,38.64,39.74,40.81,41.18,42.85,43.82,44.77
66,Congo Republic,13,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,46.15,47.08,48.0,48.91,49.82,50.82,51.84,52.79,53.83,53.63,57.02,58.06,58.91,60.07,60.94,61.75,62.66,63.56,64.4,65.28,66.2,67.03,67.97
67,Cote d'Ivoire,14,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,81.5,82.21,82.73,83.31,83.8,86.38,91.27,85.74,88.73,87.07,87.89,88.08,88.08,90.06,90.61,86.53,92.03,92.45,92.98,93.82,94.37,94.84,92.96
68,Djibouti,15,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,56.61,57.2,56.9,58.59,59.33,60.1,62.41,61.6,62.36,63.11,63.99,64.74,64.23,66.3,67.15,67.85,68.58,69.96,70.63,71.62,72.57,73.42,72.83
69,Egypt,16,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99.44,99.4,99.23,99.73,99.66,99.8,99.26,99.32,99.93,99.56,99.8,99.67,99.57,99.9,99.93,99.17,100.0,100.0,100.0,100.0,100.0,100.0,100.0
70,Equatorial Guinea,17,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,94.46,94.3,94.04,93.76,93.38,93.32,93.16,92.86,92.69,92.65,93.11,93.08,92.16,92.05,91.83,91.61,91.4,91.29,91.06,90.8,90.58,90.31,90.04
71,Eritrea,18,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,79.28,78.92,78.22,78.61,78.08,78.15,78.0,77.88,77.79,77.49,77.51,77.29,77.11,77.07,76.98,76.85,76.68,76.39,76.16,76.22,75.94,75.71,81.51
72,Eswatini,19,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,54.48,56.43,57.73,59.72,60.9,62.85,63.36,66.3,67.71,72.47,65.6,73.33,74.9,76.58,83.92,80.56,80.69,85.46,87.77,90.0,92.23,94.69,84.45
73,Ethiopia,20,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,76.33,65.27,76.46,80.43,81.14,85.95,82.61,83.28,84.2,84.63,85.65,85.16,87.14,87.79,92.01,84.99,85.25,96.48,91.74,92.54,93.33,94.21,95.95
74,Gabon,21,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,90.2,91.45,91.68,92.01,92.37,93.2,92.96,93.45,93.81,94.18,95.95,96.18,98.09,94.3,96.58,96.63,97.04,94.63,97.72,98.02,98.4,98.68,100.0
75,Gambia,22,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,51.18,51.01,52.46,54.01,55.5,54.48,58.52,60.07,61.6,63.21,64.72,66.25,67.93,66.97,70.86,72.46,74.06,79.41,76.4,78.6,80.85,82.61,84.76
76,Ghana,23,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,80.46,78.83,79.44,76.88,80.67,78.5,80.79,82.74,84.82,84.27,72.75,85.0,86.78,88.53,90.77,88.43,89.8,90.03,89.88,93.81,94.55,95.21,94.63
77,Guinea,24,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,48.24,52.31,55.53,58.22,62.13,59.04,65.51,67.08,68.64,69.99,71.82,73.63,74.18,76.92,78.39,80.12,82.28,83.48,86.7,86.04,88.18,89.73,91.39
78,Guinea Bissau,25,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,14.92,16.2,17.41,18.57,19.68,20.76,34.27,19.94,22.72,10.1,11.82,27.45,27.76,28.09,33.13,35.49,39.65,43.94,48.12,52.22,56.51,60.63,63.76
79,Kenya,26,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,49.83,51.29,53.22,50.34,56.57,58.47,59.99,61.87,63.82,65.74,58.11,69.51,70.98,72.86,68.32,78.11,84.24,83.45,87.12,90.78,94.13,97.33,100.0
80,Lesotho,27,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,13.77,4.22,5.54,24.05,26.3,30.22,33.71,36.94,39.7,43.18,55.21,57.03,59.33,61.16,61.63,64.67,66.5,68.88,70.7,74.58,77.57,80.78,78.78
81,Liberia,28,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.0,0.0,0.0,0.0,0.0,0.04,0.25,6.1,2.39,3.5,9.99,7.22,16.18,16.36,14.83,25.27,31.16,40.54,37.22,36.97,45.54,49.38,46.75
82,Libya,29,Population access to electricity-Urban,% of population,Electricity,Access,Population access to electricity-Urban (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99.99,99.85,99.9,99.95,99.99,99.97,99.94,100.0,99.94,99.99,100.0,100.0,100.0,95.35,93.06,90.69,88.46,86.26,81.85,83.45,84.44,85.09,84.54
